epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.58585,1.04654,2.74781,1.47091,0.60737,0.85,0.84544,0.63145,1.66121,1.04887,1.38975,0,0,0
2,9.60271,1.14195,2.78657,1.46205,0.62811,0.85,0.88435,0.63551,1.68152,1.0421,1.39464,7.973e-07,7.973e-07,7.973e-07
3,10.1493,1.07302,2.4833,1.19518,0.62577,0.85,0.88555,0.61965,1.68886,1.03439,1.39027,8.092e-07,8.092e-07,8.092e-07
