epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9193,1.03554,5.67602,1.03042,0.00086,0.33333,0.00125,0.00113,0.47304,3.68051,0.76356,2.858e-05,2.858e-05,2.858e-05
2,13.5432,1.10622,5.73352,1.03271,0.00088,0.33333,0.00127,0.00114,0.4815,3.68093,0.76434,6.43764e-05,6.43764e-05,6.43764e-05
3,14.1018,1.15914,6.4692,1.1097,0.00213,0.66667,0.00646,0.00167,0.49099,3.68098,0.76486,9.16846e-05,9.16846e-05,9.16846e-05
4,14.7274,0.90472,6.14608,0.98999,0.00085,0.33333,0.00132,0.00118,0.48098,3.67682,0.75882,0.000110505,0.000110505,0.000110505
5,15.3994,1.03388,5.53142,0.93859,0.00211,0.66667,0.00271,0.00257,0.50843,3.66502,0.75048,0.000120836,0.000120836,0.000120836
6,16.067,0.74113,4.71914,0.93542,0.00211,0.66667,0.00259,0.00233,0.51577,3.63902,0.74031,0.00012268,0.00012268,0.00012268
7,16.7461,0.71407,4.64617,0.84541,0.00337,1,0.00381,0.00343,0.49634,3.62603,0.73675,0.000116035,0.000116035,0.000116035
8,17.4053,0.73482,4.72962,0.82317,0.00226,0.66667,0.00247,0.00222,0.50271,3.60883,0.73695,0.000100902,0.000100902,0.000100902
9,18.0655,0.76572,4.49172,0.87328,0.00226,0.66667,0.00247,0.00222,0.50271,3.60883,0.73695,7.72803e-05,7.72803e-05,7.72803e-05
10,18.7383,0.96179,5.08582,0.81957,0.00336,1,0.00379,0.00354,0.50485,3.58696,0.73938,4.51707e-05,4.51707e-05,4.51707e-05
