epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.952,0.93401,4.77717,0.98592,0.00162,0.70833,0.00261,0.00211,0.52961,3.79738,0.77487,4.287e-05,4.287e-05,4.287e-05
2,129.917,0.88274,4.61522,0.92847,0.00162,0.70833,0.00273,0.00236,0.56544,3.70281,0.7712,9.96999e-05,9.96999e-05,9.96999e-05
3,130.776,0.60118,7.59041,0.62502,0.00193,0.75,0.02166,0.01602,0.5171,3.60511,0.76895,0.000156153,0.000156153,0.000156153
4,131.621,0.56178,7.10524,0.65481,0.00339,0.95833,0.03295,0.02902,0.5857,3.5627,0.76323,0.000212228,0.000212228,0.000212228
5,132.449,0.82381,2.97261,0.84673,0.0033,0.95833,0.10414,0.08272,0.68858,3.51638,0.77154,0.000267926,0.000267926,0.000267926
6,133.263,0.9098,2.56883,0.87919,0.00333,0.95833,0.10667,0.07543,0.63536,3.55763,0.77146,0.000323247,0.000323247,0.000323247
7,134.104,1.02596,2.56941,0.96534,0.0036,1,0.19233,0.12676,0.69452,3.45444,0.77243,0.000378191,0.000378191,0.000378191
8,134.921,0.87601,2.45446,0.87785,0.00356,1,0.19848,0.12695,0.75954,3.43899,0.77112,0.000432757,0.000432757,0.000432757
9,135.723,0.89973,2.20072,0.92458,0.00351,1,0.1761,0.11906,0.81263,3.38496,0.78301,0.000486946,0.000486946,0.000486946
10,136.528,0.91605,2.34639,0.871,0.00345,1,0.24355,0.18008,0.79052,3.29209,0.78552,0.000540758,0.000540758,0.000540758
11,137.363,0.75782,2.11587,0.86776,0.00294,0.91667,0.42371,0.35291,0.74704,3.21762,0.78502,0.000594192,0.000594192,0.000594192
12,138.184,0.81363,2.19602,0.95268,0.00249,0.83333,0.35952,0.2852,0.71596,3.11205,0.79453,0.00064725,0.00064725,0.00064725
13,138.994,0.80707,2.0008,0.87637,0.00315,0.95833,0.34933,0.28757,0.74175,3.03678,0.79759,0.00069993,0.00069993,0.00069993
14,139.814,0.88121,1.95674,0.98749,0.0034,1,0.60454,0.49184,0.68541,2.83633,0.80249,0.000752233,0.000752233,0.000752233
15,140.658,0.72422,2.06388,0.88795,0.00352,1,0.60714,0.516,0.663,2.8492,0.79201,0.000804158,0.000804158,0.000804158
16,141.471,0.8539,2.3001,0.93236,0.00352,1,0.60714,0.516,0.663,2.8492,0.79201,0.000855707,0.000855707,0.000855707
17,142.291,0.81653,1.95582,0.91503,0.62906,0.45947,0.64262,0.53354,0.65694,2.82623,0.78694,0.000906878,0.000906878,0.000906878
18,143.1,0.76791,1.79651,0.87926,0.60093,0.74056,0.63548,0.53087,0.65378,2.65863,0.78026,0.000957672,0.000957672,0.000957672
19,143.902,0.72447,1.51519,0.9036,0.60093,0.74056,0.63548,0.53087,0.65378,2.65863,0.78026,0.00100809,0.00100809,0.00100809
20,144.713,0.71207,2.18601,0.90457,1,0.1873,0.63844,0.51636,0.65191,2.57447,0.7897,0.00105813,0.00105813,0.00105813
21,145.515,0.89349,2.09652,0.95091,0.79765,0.52714,0.76579,0.63646,0.6693,2.42184,0.80131,0.00110779,0.00110779,0.00110779
22,146.313,0.96168,1.95693,0.93543,0.79765,0.52714,0.76579,0.63646,0.6693,2.42184,0.80131,0.00115707,0.00115707,0.00115707
23,147.115,0.75575,2.02686,0.90987,0.57107,0.47125,0.77361,0.6498,0.6895,2.25234,0.81227,0.00120598,0.00120598,0.00120598
