epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7932,0.68555,4.89633,0.94734,0.00088,0.33333,0.00126,0.00113,0.4764,3.68126,0.76331,0,0,0
2,12.9936,0.91642,4.42355,1.01717,0.00088,0.33333,0.00129,0.00116,0.47706,3.68103,0.76375,1.14606e-05,1.14606e-05,1.14606e-05
3,13.5564,0.90211,4.95423,0.998,0.00086,0.33333,0.00127,0.00114,0.47803,3.68034,0.76455,1.72623e-05,1.72623e-05,1.72623e-05
4,14.0742,1.00199,5.01279,0.94821,0.00085,0.33333,0.00132,0.00118,0.48183,3.67922,0.7653,1.74052e-05,1.74052e-05,1.74052e-05
5,14.5813,1.02949,4.92668,1.01377,0.00085,0.33333,0.00129,0.00116,0.47931,3.68169,0.76612,1.18893e-05,1.18893e-05,1.18893e-05
