epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3133,0.99144,5.89325,1.05664,0.00162,0.70833,0.00263,0.0021,0.5404,3.8212,0.78554,8.574e-05,8.574e-05,8.574e-05
2,14.519,0.94012,5.9913,0.95181,0.00166,0.70833,0.00754,0.00646,0.56216,3.6568,0.77001,0.000167379,0.000167379,0.000167379
3,15.5538,0.82963,5.53873,0.9049,0.00242,0.83333,0.02934,0.01685,0.5598,3.57596,0.76589,0.000229212,0.000229212,0.000229212
4,16.5357,0.89384,4.65527,0.92441,0.00266,0.875,0.03082,0.02883,0.59385,3.56856,0.76358,0.000271238,0.000271238,0.000271238
5,17.5198,0.77127,4.12632,0.87938,0.00289,0.91667,0.13623,0.09199,0.7181,3.49832,0.78427,0.000293459,0.000293459,0.000293459
6,18.489,0.96078,3.70932,0.90063,0.0029,0.91667,0.2124,0.12766,0.77242,3.39159,0.80858,0.000295874,0.000295874,0.000295874
7,19.4418,0.88217,3.34714,0.91896,0.0029,0.91667,0.2124,0.12766,0.77242,3.39159,0.80858,0.000278484,0.000278484,0.000278484
8,20.4144,0.93886,3.82827,0.87332,0.0029,0.91667,0.19651,0.1573,0.77027,3.2613,0.80501,0.000241287,0.000241287,0.000241287
9,21.387,0.88262,3.15742,0.91709,0.00337,1,0.50075,0.41623,0.73031,3.05922,0.80147,0.000184284,0.000184284,0.000184284
10,22.3396,0.78183,3.31983,0.86434,0.00337,1,0.50075,0.41623,0.73031,3.05922,0.80147,0.000107475,0.000107475,0.000107475
