epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,7480.88,0.86402,0.89888,1.3462,0.86806,0.88859,0.92385,0.75034,0.91045,0.54215,1.66975,0.005743,0.005743,0.005743
45,7650.26,0.86544,0.90609,1.34355,0.87672,0.89463,0.93234,0.75695,0.90856,0.52881,1.67714,0.005644,0.005644,0.005644
46,7819.34,0.86034,0.8876,1.33836,0.87207,0.90397,0.93425,0.75869,0.90744,0.53041,1.68067,0.005545,0.005545,0.005545
47,7986.03,0.85691,0.89026,1.33622,0.87217,0.89852,0.93274,0.7572,0.90639,0.52726,1.69149,0.005446,0.005446,0.005446
48,8152.89,0.84945,0.87457,1.33515,0.8846,0.88879,0.93584,0.75928,0.90351,0.52381,1.68527,0.005347,0.005347,0.005347
49,8323.72,0.84602,0.87165,1.32978,0.88564,0.88756,0.93635,0.7586,0.90548,0.53049,1.68833,0.005248,0.005248,0.005248
50,8493.24,0.84331,0.86455,1.32993,0.88104,0.89387,0.93639,0.75979,0.90274,0.52071,1.69112,0.005149,0.005149,0.005149
51,8662.43,0.84164,0.86028,1.32596,0.88748,0.8945,0.93911,0.76235,0.9015,0.51202,1.69135,0.00505,0.00505,0.00505
52,8831.33,0.83557,0.85064,1.32141,0.89174,0.89792,0.93948,0.76125,0.90178,0.50966,1.69343,0.004951,0.004951,0.004951
53,9000.53,0.83356,0.84671,1.3213,0.89563,0.89721,0.93991,0.76117,0.90186,0.50719,1.69586,0.004852,0.004852,0.004852
54,9170.07,0.83413,0.84036,1.31943,0.89441,0.89656,0.93885,0.76008,0.90047,0.50711,1.69617,0.004753,0.004753,0.004753
55,9340.06,0.8254,0.83317,1.31367,0.89243,0.89353,0.93794,0.75963,0.89846,0.50555,1.6939,0.004654,0.004654,0.004654
56,9510.32,0.82011,0.82972,1.31107,0.89594,0.89055,0.93946,0.76102,0.89719,0.50258,1.69269,0.004555,0.004555,0.004555
57,9679.77,0.8161,0.82533,1.3064,0.90253,0.89093,0.94106,0.76304,0.89663,0.49994,1.69325,0.004456,0.004456,0.004456
58,9849.42,0.81758,0.82456,1.3048,0.90341,0.89196,0.94134,0.76397,0.89506,0.49661,1.69136,0.004357,0.004357,0.004357
59,10057.1,0.81719,0.81882,1.30961,0.90791,0.88972,0.94261,0.76502,0.89338,0.49417,1.68897,0.004258,0.004258,0.004258
60,10268,0.81026,0.81262,1.30191,0.91281,0.88773,0.94336,0.76457,0.893,0.49432,1.68965,0.004159,0.004159,0.004159
61,10438.6,0.80666,0.80674,1.29989,0.91202,0.88793,0.94442,0.76625,0.89205,0.4934,1.6896,0.00406,0.00406,0.00406
62,10608.2,0.80213,0.80228,1.29775,0.91215,0.88929,0.94674,0.76849,0.89013,0.48998,1.68774,0.003961,0.003961,0.003961
63,10777.9,0.79714,0.79098,1.29327,0.91459,0.88749,0.94787,0.77014,0.88992,0.48947,1.68873,0.003862,0.003862,0.003862
64,10947.9,0.79974,0.79586,1.29674,0.91818,0.88764,0.94887,0.77068,0.88968,0.48938,1.69017,0.003763,0.003763,0.003763
65,11117.5,0.79129,0.79108,1.28619,0.91836,0.88659,0.94941,0.77101,0.88887,0.48937,1.69002,0.003664,0.003664,0.003664
66,11286.4,0.79359,0.7865,1.28998,0.91964,0.88717,0.95038,0.77262,0.88778,0.48844,1.68918,0.003565,0.003565,0.003565
67,11455.8,0.78818,0.77442,1.28532,0.92178,0.88651,0.95154,0.77375,0.88699,0.48696,1.68791,0.003466,0.003466,0.003466
68,11625.6,0.78493,0.77776,1.28236,0.92152,0.88693,0.95247,0.77466,0.88553,0.48496,1.6849,0.003367,0.003367,0.003367
69,11796.4,0.78356,0.77371,1.28225,0.9204,0.88425,0.95222,0.77465,0.88497,0.48478,1.6853,0.003268,0.003268,0.003268
70,11966.9,0.77942,0.77236,1.27881,0.92087,0.88482,0.95247,0.77608,0.88452,0.48373,1.68576,0.003169,0.003169,0.003169
71,12137.6,0.77813,0.75814,1.27702,0.92058,0.88571,0.95235,0.776,0.88393,0.4836,1.68645,0.00307,0.00307,0.00307
72,12308.6,0.77089,0.7604,1.27469,0.91978,0.88656,0.95194,0.77614,0.88331,0.48244,1.6862,0.002971,0.002971,0.002971
73,12479.1,0.76746,0.75441,1.26847,0.92146,0.88653,0.95238,0.77647,0.8831,0.481,1.68746,0.002872,0.002872,0.002872
74,12651.1,0.76136,0.74647,1.26662,0.92125,0.88812,0.9533,0.77742,0.88205,0.47949,1.68799,0.002773,0.002773,0.002773
75,12823.3,0.75864,0.74301,1.26276,0.88144,0.91384,0.95379,0.77758,0.88149,0.47944,1.68872,0.002674,0.002674,0.002674
76,12995.5,0.75912,0.73531,1.26386,0.88565,0.91138,0.95357,0.77838,0.88077,0.47843,1.68806,0.002575,0.002575,0.002575
77,13168,0.75393,0.7416,1.26165,0.88876,0.91047,0.95423,0.77912,0.88006,0.4767,1.6869,0.002476,0.002476,0.002476
78,13340.1,0.74949,0.73466,1.25837,0.89008,0.90997,0.95426,0.77876,0.87908,0.47577,1.68577,0.002377,0.002377,0.002377
79,13511.2,0.74653,0.72064,1.25319,0.89084,0.90913,0.95486,0.77942,0.87818,0.47437,1.68483,0.002278,0.002278,0.002278
80,13682.6,0.74154,0.71899,1.25074,0.89251,0.90863,0.95488,0.78017,0.87734,0.47298,1.68395,0.002179,0.002179,0.002179
81,13855.3,0.74162,0.72113,1.25312,0.89157,0.90979,0.95498,0.78052,0.87662,0.47158,1.68343,0.00208,0.00208,0.00208
82,14026.3,0.73806,0.72007,1.25179,0.89276,0.90939,0.95512,0.78076,0.87586,0.47036,1.68311,0.001981,0.001981,0.001981
83,14197.2,0.73234,0.70439,1.24151,0.89514,0.90784,0.95533,0.7807,0.87519,0.4696,1.68328,0.001882,0.001882,0.001882
84,14368.5,0.73011,0.70851,1.24126,0.8973,0.90558,0.95565,0.78084,0.87497,0.46906,1.68401,0.001783,0.001783,0.001783
85,14539.2,0.72759,0.70212,1.24389,0.89786,0.90478,0.95536,0.78098,0.8744,0.46901,1.68429,0.001684,0.001684,0.001684
86,14713.2,0.72135,0.69738,1.2375,0.90283,0.90156,0.95534,0.78057,0.87426,0.46873,1.68562,0.001585,0.001585,0.001585
87,14892.1,0.72127,0.7013,1.23915,0.86367,0.93294,0.95572,0.78093,0.87372,0.46816,1.68542,0.001486,0.001486,0.001486
88,15106.3,0.71799,0.69726,1.23259,0.86521,0.93287,0.95554,0.78084,0.87338,0.46723,1.68593,0.001387,0.001387,0.001387
89,15333.6,0.71382,0.687,1.23165,0.86578,0.93332,0.95554,0.78098,0.87303,0.46673,1.68604,0.001288,0.001288,0.001288
90,15545.5,0.70912,0.68451,1.2281,0.86609,0.93213,0.95539,0.78065,0.87297,0.46611,1.68619,0.001189,0.001189,0.001189
91,15733.7,0.61968,0.2879,1.31537,0.8687,0.93199,0.95478,0.7806,0.87237,0.46564,1.68624,0.00109,0.00109,0.00109
92,15906.6,0.5988,0.2716,1.28881,0.86881,0.93176,0.95403,0.78019,0.87183,0.46483,1.68645,0.000991,0.000991,0.000991
93,16077.1,0.59059,0.26745,1.28052,0.86729,0.93295,0.95362,0.78012,0.87114,0.46353,1.68691,0.000892,0.000892,0.000892
94,16247.7,0.58415,0.26328,1.27441,0.90134,0.90465,0.95283,0.77968,0.87029,0.46271,1.68745,0.000793,0.000793,0.000793
95,16417.9,0.57595,0.2571,1.26458,0.9,0.90634,0.95271,0.77948,0.86911,0.4614,1.687,0.000694,0.000694,0.000694
96,16587.2,0.57418,0.25605,1.26543,0.8835,0.92029,0.95267,0.78006,0.86842,0.45967,1.6878,0.000595,0.000595,0.000595
97,16783.7,0.55829,0.25097,1.24616,0.88552,0.91935,0.95232,0.78015,0.86755,0.45821,1.68842,0.000496,0.000496,0.000496
98,16959,0.55771,0.24984,1.24771,0.88595,0.91939,0.95238,0.78042,0.86664,0.45676,1.68912,0.000397,0.000397,0.000397
99,17135.8,0.555,0.24907,1.24452,0.88858,0.92104,0.95177,0.78043,0.86546,0.45605,1.68958,0.000298,0.000298,0.000298
100,17313.7,0.54719,0.24524,1.23371,0.881,0.92799,0.9514,0.7805,0.86458,0.45524,1.69023,0.000199,0.000199,0.000199
