epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.11,1.33511,4.09851,1.83562,0.47254,0.28583,0.19951,0.09547,1.28834,2.52252,2.19422,0.00333133,0.00333133,0.00333133
2,355.09,1.23302,3.04444,1.68406,0.53701,0.36413,0.35838,0.19809,1.31691,2.10893,2.17134,0.00659869,0.00659869,0.00659869
3,527.666,1.23006,2.64629,1.65863,0.63666,0.49833,0.51541,0.33594,1.14472,1.71643,1.98822,0.00980004,0.00980004,0.00980004
4,705.719,1.21874,2.23484,1.63647,0.78702,0.52331,0.65072,0.41975,1.22605,1.4571,2.03125,0.009703,0.009703,0.009703
5,874.921,1.17619,1.92639,1.59602,0.65434,0.68264,0.73597,0.47766,1.18076,1.24339,2.01682,0.009604,0.009604,0.009604
6,1045.69,1.13891,1.75261,1.56797,0.74545,0.7382,0.78393,0.55312,1.11295,1.05369,1.93496,0.009505,0.009505,0.009505
7,1214.88,1.12111,1.63266,1.54666,0.73584,0.76599,0.79096,0.53628,1.12954,1.03683,1.95181,0.009406,0.009406,0.009406
8,1384.57,1.10099,1.55925,1.53215,0.69165,0.80125,0.79604,0.5854,1.12673,0.9573,1.93148,0.009307,0.009307,0.009307
9,1554.14,1.07397,1.48849,1.5145,0.73265,0.8407,0.81759,0.59455,1.09213,0.93842,1.92416,0.009208,0.009208,0.009208
10,1723.25,1.06981,1.45222,1.50882,0.82674,0.83827,0.87587,0.66536,1.04135,0.83797,1.82066,0.009109,0.009109,0.009109
11,1892.76,1.05243,1.4032,1.49686,0.76973,0.84284,0.84112,0.64241,0.98405,0.80926,1.78425,0.00901,0.00901,0.00901
12,2060.25,1.04497,1.37534,1.48993,0.8054,0.87217,0.88016,0.65663,1.03912,0.7627,1.87618,0.008911,0.008911,0.008911
13,2227.22,1.03189,1.32711,1.47332,0.78931,0.84214,0.88033,0.68914,1.02679,0.74909,1.7869,0.008812,0.008812,0.008812
14,2393.94,1.02536,1.30023,1.47134,0.78554,0.86484,0.8838,0.68999,1.03124,0.71265,1.82145,0.008713,0.008713,0.008713
15,2561.09,1.0184,1.28041,1.4681,0.82569,0.84746,0.88615,0.66849,1.01163,0.71564,1.78887,0.008614,0.008614,0.008614
16,2728.23,1.01147,1.25549,1.46118,0.81887,0.86777,0.89089,0.66746,0.9883,0.7147,1.75278,0.008515,0.008515,0.008515
17,2897.62,1.00114,1.2252,1.45384,0.85669,0.83175,0.88885,0.694,1.00825,0.66246,1.75547,0.008416,0.008416,0.008416
18,3072.39,0.9915,1.20647,1.44825,0.84123,0.82057,0.88412,0.67666,1.01686,0.69123,1.77895,0.008317,0.008317,0.008317
19,3244.74,0.98637,1.18196,1.44191,0.76664,0.91235,0.89178,0.68772,0.99316,0.68937,1.7527,0.008218,0.008218,0.008218
20,3414.22,0.98161,1.16669,1.43628,0.86748,0.88447,0.90909,0.71822,1.02902,0.63152,1.80544,0.008119,0.008119,0.008119
21,3583.86,0.97209,1.14844,1.43161,0.82072,0.8907,0.8998,0.70808,0.98766,0.60811,1.74536,0.00802,0.00802,0.00802
22,3753.45,0.96675,1.12419,1.42473,0.79586,0.87212,0.90698,0.70973,0.99081,0.6529,1.77063,0.007921,0.007921,0.007921
23,3923.07,0.96107,1.10405,1.41965,0.83443,0.88324,0.90674,0.70303,1.00881,0.654,1.78576,0.007822,0.007822,0.007822
24,4092.76,0.95789,1.09272,1.41665,0.83407,0.88257,0.90802,0.70734,1.01471,0.63303,1.792,0.007723,0.007723,0.007723
25,4262.79,0.95008,1.08881,1.4124,0.83231,0.88472,0.92174,0.72815,0.95904,0.593,1.73933,0.007624,0.007624,0.007624
26,4432.21,0.94027,1.05957,1.40338,0.8438,0.88223,0.90681,0.71246,0.94355,0.57956,1.69273,0.007525,0.007525,0.007525
27,4601.54,0.93755,1.04858,1.40202,0.82659,0.88811,0.91827,0.72326,0.96457,0.58142,1.72816,0.007426,0.007426,0.007426
28,4770.56,0.93734,1.04241,1.40186,0.83743,0.89465,0.92276,0.71935,0.96453,0.56758,1.74237,0.007327,0.007327,0.007327
29,4939.99,0.92582,1.02645,1.39416,0.87308,0.88204,0.92664,0.70847,0.97116,0.55977,1.77245,0.007228,0.007228,0.007228
30,5109.31,0.92367,1.01898,1.39101,0.85355,0.86563,0.92148,0.7232,0.96832,0.60602,1.75999,0.007129,0.007129,0.007129
31,5279.51,0.9175,1.01208,1.38634,0.8705,0.86898,0.92883,0.72997,0.96004,0.59638,1.732,0.00703,0.00703,0.00703
32,5448.84,0.91063,1.00129,1.38018,0.85258,0.86588,0.92028,0.72989,0.97511,0.61623,1.76785,0.006931,0.006931,0.006931
33,5618.82,0.91025,0.99732,1.37959,0.85129,0.88941,0.93449,0.74682,0.9446,0.56297,1.74219,0.006832,0.006832,0.006832
34,5788.88,0.90475,0.98281,1.37907,0.85574,0.87072,0.93724,0.74771,0.94208,0.5854,1.70498,0.006733,0.006733,0.006733
35,5958.54,0.89889,0.97103,1.36969,0.81655,0.88948,0.92872,0.74306,0.93763,0.59123,1.69983,0.006634,0.006634,0.006634
36,6128.14,0.89566,0.96678,1.37006,0.84169,0.90089,0.94268,0.75431,0.92607,0.5488,1.68404,0.006535,0.006535,0.006535
37,6297.14,0.89541,0.95328,1.37126,0.86288,0.88211,0.94272,0.75815,0.93136,0.54087,1.69872,0.006436,0.006436,0.006436
38,6466.53,0.89251,0.9529,1.36623,0.87561,0.86992,0.93966,0.75627,0.93123,0.55946,1.70804,0.006337,0.006337,0.006337
39,6635.95,0.88544,0.94068,1.36311,0.86635,0.88305,0.94259,0.76702,0.91502,0.53892,1.69387,0.006238,0.006238,0.006238
40,6804.99,0.88223,0.93349,1.35781,0.87242,0.89326,0.9431,0.76196,0.91761,0.54582,1.68658,0.006139,0.006139,0.006139
41,6974.22,0.8736,0.92271,1.34954,0.85724,0.88943,0.93211,0.75275,0.91385,0.5733,1.6787,0.00604,0.00604,0.00604
42,7143.2,0.87388,0.91874,1.35096,0.87633,0.87842,0.93177,0.75329,0.90379,0.55722,1.65942,0.005941,0.005941,0.005941
43,7312.24,0.87156,0.91526,1.35214,0.86187,0.89361,0.92174,0.74414,0.90847,0.5515,1.67025,0.005842,0.005842,0.005842
